Table 11,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,
"by State by State, Tribal, and Other Agencies, 2015",,,,,,,,,,,,,,
State,State/Tribal/Other Agencies,Unit/Office,"Violent crime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson3,
,,Levy County,0,0,0,,0,0,0,0,0,0,0,
,,Liberty County,0,0,0,,0,0,0,0,0,0,0,
,,Madison County,0,0,0,,0,0,0,0,0,0,0,
,,Manatee County,0,0,0,,0,0,0,0,0,0,0,
,,Marion County,0,0,0,,0,0,0,0,0,0,0,
,,Martin County,0,0,0,,0,0,0,0,0,0,0,
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0,
,,Monroe County,0,0,0,,0,0,0,0,0,0,0,
,,Nassau County,0,0,0,,0,0,0,0,0,0,0,
,,Okaloosa County,0,0,0,,0,0,0,0,0,0,0,
,,Okeechobee County,0,0,0,,0,0,0,0,0,0,0,
,,Orange County,0,0,0,,0,0,0,0,0,0,0,
,,Osceola County,0,0,0,,0,0,0,0,0,0,0,
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0,
,,Pasco County,0,0,0,,0,0,0,0,0,0,0,
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0,
,,Polk County,0,0,0,,0,0,0,0,0,0,0,
,,Putnam County,0,0,0,,0,0,0,0,0,0,0,
,,Santa Rosa County,0,0,0,,0,0,0,0,0,0,0,
,,Sarasota County,0,0,0,,0,0,0,0,0,0,0,
,,Seminole County,0,0,0,,0,0,0,0,0,0,0,
,,St. Johns County,0,0,0,,0,0,0,0,0,0,0,
,,St. Lucie County,0,0,0,,0,0,0,0,0,0,0,
,,Sumter County,0,0,0,,0,0,0,0,0,0,0,
,,Suwannee County,0,0,0,,0,0,0,0,0,0,0,
,,Taylor County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,0,
,,Volusia County,0,0,0,,0,0,0,0,0,0,0,
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0,
,,Walton County,0,0,0,,0,0,0,0,0,0,0,
,,Washington County,0,0,0,,0,0,0,0,0,0,0,
,Highway Patrol:,Alachua County,0,0,0,,0,0,0,0,0,0,0,
,,Baker County,0,0,0,,0,0,1,0,1,0,0,
,,Bay County,0,0,0,,0,0,0,0,0,0,0,
,,Bradford County,0,0,0,,0,0,0,0,0,0,0,
,,Brevard County,1,0,0,,0,1,3,0,1,2,0,
,,Broward County,11,0,0,,0,11,0,0,0,0,0,
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0,
,,Charlotte County,0,0,0,,0,0,0,0,0,0,0,
,,Citrus County,0,0,0,,0,0,0,0,0,0,0,
,,Clay County,0,0,0,,0,0,0,0,0,0,0,
,,Collier County,3,0,0,,0,3,0,0,0,0,0,
,,Columbia County,0,0,0,,0,0,0,0,0,0,0,
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0,
,,Dixie County,0,0,0,,0,0,0,0,0,0,0,
,,Duval County,1,0,0,,0,1,6,0,5,1,0,
,,Escambia County,1,0,0,,0,1,0,0,0,0,0,
,,Flagler County,0,0,0,,0,0,0,0,0,0,0,
,,Franklin County,0,0,0,,0,0,0,0,0,0,0,
,,Gadsden County,0,0,0,,0,0,1,0,0,1,0,
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0,
,,Glades County,0,0,0,,0,0,0,0,0,0,0,
,,Gulf County,0,0,0,,0,0,0,0,0,0,0,
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0,
,,Hardee County,0,0,0,,0,0,0,0,0,0,0,
,,Hendry County,0,0,0,,0,0,0,0,0,0,0,
,,Hernando County,0,0,0,,0,0,0,0,0,0,0,
,,Highlands County,0,0,0,,0,0,0,0,0,0,0,
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0,
,,Holmes County,0,0,0,,0,0,0,0,0,0,0,
,,Indian River County,0,0,0,,0,0,0,0,0,0,0,
,,Jackson County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0,
,,Lake County,0,0,0,,0,0,0,0,0,0,0,
,,Lee County,0,0,0,,0,0,0,0,0,0,0,
,,Leon County,2,0,0,,0,2,0,0,0,0,0,
,,Levy County,0,0,0,,0,0,0,0,0,0,0,
,,Liberty County,0,0,0,,0,0,0,0,0,0,0,
,,Madison County,0,0,0,,0,0,2,0,2,0,0,
,,Manatee County,0,0,0,,0,0,1,0,0,1,0,
,,Marion County,1,0,0,,0,1,1,0,0,1,0,
,,Martin County,0,0,0,,0,0,1,0,1,0,0,
,,Miami-Dade County,0,0,0,,0,0,5,0,1,4,0,
,,Monroe County,0,0,0,,0,0,0,0,0,0,0,
,,Nassau County,0,0,0,,0,0,0,0,0,0,0,
,,Okaloosa County,1,0,0,,0,1,1,0,0,1,0,
,,Okeechobee County,0,0,0,,0,0,0,0,0,0,0,
,,Orange County,0,0,0,,0,0,1,0,0,1,0,
,,Osceola County,0,0,0,,0,0,1,0,0,1,0,
,,Palm Beach County,2,0,0,,0,2,2,0,1,1,0,
,,Pasco County,0,0,0,,0,0,0,0,0,0,0,
,,Pinellas County,5,0,0,,0,5,0,0,0,0,0,
,,Polk County,2,0,0,,0,2,0,0,0,0,0,
,,Putnam County,2,0,0,,0,2,0,0,0,0,0,
,,Santa Rosa County,0,0,0,,0,0,0,0,0,0,0,
,,Sarasota County,1,0,0,,0,1,1,0,0,1,0,
,,Seminole County,0,0,0,,0,0,0,0,0,0,0,
,,St. Johns County,0,0,0,,0,0,0,0,0,0,0,
,,St. Lucie County,0,0,0,,0,0,5,0,5,0,0,
,,Sumter County,0,0,0,,0,0,0,0,0,0,0,
,,Suwannee County,0,0,0,,0,0,0,0,0,0,0,
,,Taylor County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,0,
,,Volusia County,0,0,0,,0,0,5,0,0,5,0,
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0,
,,Walton County,0,0,0,,0,0,0,0,0,0,0,
,,Washington County,0,0,0,,0,0,0,0,0,0,0,
,State Treasurer's Office,Division of Insurance Fraud,0,0,0,,0,0,0,0,0,0,0,
FLORIDAÐTribal Agencies,Miccosukee Tribal,,15,0,1,,1,13,87,5,73,9,0,
,Seminole Tribal,,62,0,4,,19,39,686,33,611,42,1,
FLORIDAÐOther Agencies,Duval County Schools,,90,0,3,,11,76,480,67,402,11,1,
,Florida School for the Deaf and Blind,,0,0,0,,0,0,2,0,2,0,0,
,Fort Lauderdale Airport,,1,0,0,,1,0,302,2,259,41,0,
,Jacksonville Aviation Authority,,4,0,0,,0,4,53,1,16,36,0,
,Lee County Port Authority,,2,0,0,,0,2,62,0,56,6,0,
,Melbourne International Airport,,0,0,0,,0,0,2,0,2,0,0,
,Miami-Dade County Public Schools,,144,0,10,,43,91,"1,068",371,687,10,9,
,Northwest Florida Beaches International Airport,,0,0,0,,0,0,3,0,1,2,0,
,Palm Beach County School District,,134,0,2,,12,120,813,40,767,6,3,
,Port Everglades,,9,0,4,,0,5,64,5,57,2,0,
,Sarasota-Manatee Airport Authority,,2,0,0,,0,2,27,0,11,16,0,
,St. Petersburg-Clearwater International Airport,,1,0,0,,0,1,13,0,10,3,0,
,Tampa International Airport,,2,0,0,,0,2,208,1,167,40,0,
,Volusia County Beach Management,,12,0,1,,6,5,170,5,161,4,0,
GEORGIAÐState Agencies,Georgia Department of Transportation,Office of Investigations,0,0,,0,0,0,0,0,0,0,0,
,Georgia Forestry Commission,,0,0,,0,0,0,0,0,0,0,66,
,Georgia Public Safety Training Center,,0,0,,0,0,0,0,0,0,0,0,
,Georgia World Congress,,3,0,,0,1,2,253,0,249,4,,
,Ports Authority,Savannah,2,0,,0,0,2,13,3,10,0,0,
,State Board of Workers Compensation,Fraud Investigation Division,0,0,,0,0,0,0,0,0,0,0,
GEORGIAÐOther Agencies,Appling County Board of Education,,0,0,,0,0,0,0,0,0,0,0,
,Atlanta Public Schools,,65,0,,1,20,44,347,40,266,41,0,
,Augusta Board of Education,,2,0,,1,0,1,204,17,185,2,0,
,Chatham County Board of Education,,6,0,,0,2,4,123,2,118,3,0,
,Cherokee County Board of Education,,1,0,,0,1,0,86,3,83,0,0,
,Cherokee County Marshal,,0,0,,0,0,0,0,0,0,0,0,
,Cobb County Board of Education,,86,0,,1,8,77,548,20,528,0,0,
,Decatur County Schools,,0,0,,0,0,0,4,1,3,0,0,
,DeKalb County School System,,42,0,,2,29,11,433,39,381,13,,
,Fayette County Marshal,,0,0,,0,0,0,0,0,0,0,0,
,Forsyth County Fire Investigation Unit,,0,0,,0,0,0,0,0,0,0,5,
,Fulton County Marshal,,6,0,,0,1,5,27,0,24,3,0,
,Fulton County School System,,15,0,,2,2,11,131,19,100,12,,
,Glynn County School System,,3,0,,0,1,2,47,2,45,0,,
,Gwinnett County Public Schools,,9,0,,0,3,6,255,6,247,2,1,
,Hall County Marshal,,0,0,,0,0,0,0,0,0,0,0,
,Hartsfield-Jackson Atlanta International Airport,,12,0,,0,1,11,384,0,329,55,0,
,Metropolitan Atlanta Rapid Transit Authority,,141,0,,3,54,84,353,3,294,56,7,
,Muscogee City Marshal,,0,0,,0,0,0,0,0,0,0,0,
,Richmond County Marshal,,0,0,,0,0,0,0,0,0,0,0,
,Stone Mountain Park,,0,0,,0,0,0,66,1,64,1,0,
,Washington County Board of Education,,0,0,,0,0,0,0,0,0,0,0,
IDAHOÐState Agencies,Idaho State Police,,8,2,1,,0,5,12,1,8,3,0,
IDAHOÐTribal Agencies,Kootenai Tribal,,0,0,0,,0,0,0,0,0,0,,
ILLINOISÐState Agencies,Illinois State Police,,233,18,92,,10,113,189,26,118,45,5,
,Secretary of State Police,,1,0,0,,0,1,14,0,13,1,0,
,State Fire Marshal,,0,0,0,,0,0,0,0,0,0,340,
ILLINOISÐOther Agencies,Alton & Southern Railway,,0,0,0,,0,0,18,8,10,0,1,
,Belt Railway,,0,0,0,,0,0,1,0,1,0,0,
,Canadian National Railway,,0,0,0,,0,0,269,0,269,0,0,
,Canton Park District,,0,0,0,,0,0,0,0,0,0,0,
,Capitol Airport Authority,,0,0,0,,0,0,0,0,0,0,0,
,Chicago Fire Department,Arson Investigations,0,0,0,,0,0,0,0,0,0,275,
,Cook County Forest Preserve,,14,1,6,,3,4,85,1,83,1,0,
,Crystal Lake Park District,,2,0,0,,0,2,6,1,5,0,0,
,Decatur Park District,,7,0,0,,2,5,29,3,25,1,2,
,DuPage County Forest Preserve,,1,0,0,,1,0,28,0,28,0,0,
,Fon du Lac Park District,,1,0,1,,0,0,4,0,3,1,0,
,Fox Valley Park District,,8,0,0,,0,8,59,0,57,2,0,
,Indiana Harbor Belt Railroad,,0,0,0,,0,0,9,7,2,0,0,
,Kane County Forest Preserve,,3,0,1,,1,1,8,0,8,0,1,
,Lake County Forest Preserve,,2,0,1,,1,0,30,2,28,0,0,
,McHenry County Conservation District,,0,0,0,,0,0,3,0,3,0,0,
,Naperville Park District,,0,0,0,,0,0,19,0,19,0,0,
,Norfolk Southern Railway:,Cook County,0,0,0,,0,0,935,754,181,0,0,
,,Macon County,0,0,0,,0,0,5,0,5,0,0,
,,Madison County,0,0,0,,0,0,4,3,1,0,0,
,Pekin Park District,,0,0,0,,0,0,5,0,5,0,0,
,Springfield Park District,,13,0,1,,2,10,18,8,10,0,0,
,Terminal Railroad Association,,2,0,0,,0,2,2,0,1,1,0,
,Tri-County Drug Enforcement Narcotics Team,,0,0,0,,0,0,0,0,0,0,0,
,Union Pacific Railroad,Cook County,0,0,0,,0,0,348,126,222,0,0,
INDIANAÐState Agencies,Indiana State Excise Police,,2,0,0,,0,2,10,0,10,0,0,
,Northern Indiana Commuter Transportation District,,1,0,,0,1,0,14,1,11,2,0,
,State Police:,Adams County,1,0,1,,0,0,5,0,2,3,0,
,,Allen County,10,0,4,,2,4,30,1,24,5,0,
,,Bartholomew County,6,0,2,,0,4,9,0,6,3,0,
,,Benton County,2,0,0,,1,1,0,0,0,0,0,
,,Blackford County,0,0,0,,0,0,1,0,1,0,0,
,,Boone County,1,0,0,,1,0,2,0,2,0,0,
,,Brown County,3,1,0,,0,2,4,1,1,2,0,
,,Carroll County,1,0,1,,0,0,2,0,2,0,0,
,,Cass County,5,0,2,,0,3,4,0,3,1,0,
,,Clark County,6,0,0,,1,5,108,71,27,10,0,
,,Clay County,2,0,1,,0,1,13,3,9,1,0,
,,Clinton County,1,0,0,,0,1,6,1,4,1,0,
,,Crawford County,5,0,2,,0,3,15,3,10,2,0,
,,Daviess County,2,1,1,,0,0,11,0,10,1,0,
,,De Kalb County,12,0,1,,1,10,14,4,10,0,0,
,,Dearborn County,3,0,0,,0,3,11,0,11,0,0,
,,Decatur County,6,0,2,,0,4,4,0,4,0,0,
,,Delaware County,3,0,1,,0,2,14,1,13,0,0,
,,Dubois County,1,0,0,,0,1,26,2,21,3,0,
,,Elkhart County,2,0,1,,0,1,9,0,7,2,0,
,,Fayette County,4,0,2,,1,1,3,1,2,0,0,
,,Floyd County,5,0,1,,0,4,6,0,2,4,0,
,,Fountain County,3,0,3,,0,0,0,0,0,0,0,
,,Franklin County,1,0,1,,0,0,5,2,3,0,0,
,,Fulton County,5,0,0,,0,5,2,1,1,0,0,
,,Gibson County,5,0,1,,0,4,20,4,14,2,0,
,,Grant County,0,0,0,,0,0,5,1,3,1,0,
,,Greene County,9,0,1,,1,7,13,2,11,0,0,
,,Hamilton County,0,0,0,,0,0,8,0,5,3,0,
,,Hancock County,3,0,2,,0,1,8,2,5,1,0,
,,Harrison County,3,0,0,,0,3,19,8,9,2,0,
,,Hendricks County,1,0,0,,0,1,14,0,8,6,0,
,,Henry County,0,0,0,,0,0,4,1,2,1,0,
,,Howard County,0,0,0,,0,0,5,0,5,0,0,
,,Huntington County,2,0,0,,0,2,7,2,4,1,0,
,,Jackson County,3,0,1,,1,1,14,4,7,3,0,
,,Jasper County,3,0,1,,0,2,1,0,0,1,0,
,,Jay County,0,0,0,,0,0,5,0,4,1,0,
,,Jefferson County,16,1,3,,0,12,16,3,12,1,0,
,,Jennings County,4,0,2,,0,2,10,0,8,2,0,
,,Johnson County,2,0,1,,0,1,14,0,7,7,0,
,,Knox County,4,0,0,,0,4,13,2,9,2,1,
,,Kosciusko County,6,0,0,,0,6,7,2,3,2,0,
,,LaGrange County,3,0,0,,1,2,12,4,8,0,0,
,,Lake County,20,0,1,,2,17,32,1,21,10,0,
,,La Porte County,3,1,1,,0,1,11,0,9,2,0,
,,Lawrence County,11,0,5,,0,6,16,4,9,3,0,
,,Madison County,6,0,2,,0,4,24,2,20,2,0,
,,Marion County,20,1,3,,5,11,223,4,112,107,0,
,,Marshall County,6,0,2,,0,4,13,2,11,0,0,
,,Martin County,5,2,1,,0,2,9,2,5,2,0,
,,Miami County,22,0,7,,1,14,25,9,14,2,0,
,,Monroe County,9,0,4,,0,5,41,7,23,11,0,
,,Montgomery County,6,0,1,,0,5,3,0,3,0,0,
,,Morgan County,1,0,1,,0,0,30,3,6,21,0,
,,Newton County,0,0,0,,0,0,1,0,1,0,0,
,,Noble County,3,0,0,,2,1,13,6,7,0,0,
,,Ohio County,0,0,0,,0,0,1,0,1,0,0,
,,Orange County,10,1,3,,0,6,17,4,11,2,0,
,,Owen County,4,0,1,,0,3,12,0,8,4,0,
,,Parke County,1,0,1,,0,0,5,0,5,0,0,
,,Perry County,1,0,0,,0,1,4,1,0,3,1,
,,Pike County,9,0,1,,0,8,17,3,13,1,0,
,,Porter County,3,0,0,,1,2,20,1,16,3,0,
,,Posey County,9,0,1,,2,6,13,6,7,0,0,
,,Pulaski County,0,0,0,,0,0,1,0,1,0,0,
,,Putnam County,7,0,2,,0,5,23,1,19,3,0,
,,Randolph County,1,1,0,,0,0,6,1,5,0,0,
,,Ripley County,6,0,1,,0,5,50,18,28,4,0,
,,Rush County,0,0,0,,0,0,2,1,1,0,0,
,,Scott County,4,1,1,,0,2,21,4,15,2,0,
,,Shelby County,0,0,0,,0,0,2,1,1,0,0,
,,Spencer County,4,0,3,,0,1,11,2,8,1,0,
,,Starke County,1,0,0,,0,1,1,0,1,0,0,
,,Steuben County,8,0,1,,1,6,10,1,8,1,0,
,,St. Joseph County,4,1,1,,0,2,21,0,11,10,0,
,,Sullivan County,8,0,2,,0,6,29,7,21,1,0,
,,Switzerland County,4,0,1,,0,3,6,2,4,0,0,
,,Tippecanoe County,7,0,0,,0,7,22,1,16,5,0,
,,Tipton County,0,0,0,,0,0,1,0,1,0,0,
,,Union County,4,0,1,,0,3,2,1,1,0,0,
,,Vanderburgh County,1,0,1,,0,0,15,0,14,1,0,
,,Vermillion County,4,0,0,,0,4,6,1,5,0,0,
,,Vigo County,8,0,2,,0,6,30,6,14,10,0,
,,Wabash County,4,0,0,,0,4,3,1,2,0,0,
,,Warren County,0,0,0,,0,0,1,0,1,0,0,
,,Warrick County,1,0,0,,0,1,12,0,10,2,0,
,,Washington County,9,0,3,,0,6,15,2,12,1,0,
,,Wayne County,5,0,2,,0,3,4,0,2,2,1,
,,Wells County,3,0,0,,0,3,9,1,5,3,0,
,,White County,2,0,0,,1,1,7,2,4,1,0,
,,Whitley County,3,0,0,,0,3,12,0,10,2,0,
INDIANAÐOther Agencies,Indianapolis International Airport,,1,0,1,,0,0,71,1,53,17,0,
KANSASÐState Agencies,Kansas Alcoholic Beverage Control,,0,0,0,,0,0,0,0,0,0,0,
,Kansas Bureau of Investigation,,7,2,1,,0,4,3,0,3,0,0,
,Kansas Department of Wildlife and Parks,,4,0,0,,2,2,33,5,27,1,0,
,Kansas Highway Patrol,,57,0,0,,0,57,53,4,35,14,1,
,Kansas Lottery Security Division,,0,0,0,,0,0,1,0,1,0,0,
,Kansas Racing and Gaming Commission ,Law Enforcement,0,0,0,,0,0,1,0,1,0,0,
,Kansas Racing Commission ,Security Division,0,0,0,,0,0,0,0,0,0,0,
KANSASÐTribal Agencies,Iowa Tribal,,0,0,0,,0,0,0,0,0,0,0,
,Kickapoo Tribal,,19,0,0,,0,19,29,10,13,6,6,
,Potawatomi Tribal,,0,0,0,,0,0,11,3,8,0,0,
,Sac and Fox Tribal,,0,0,0,,0,0,14,0,14,0,,
KANSASÐOther Agencies,Johnson County Park,,2,0,0,,2,0,40,2,37,1,1,
,Salina Drug Unit,,0,0,0,,0,0,0,0,0,0,0,
,Unified School District,Auburn-Washburn,0,0,0,,0,0,2,0,2,0,0,
KENTUCKYÐState Agencies,Alcohol Beverage Control:,Enforcement Division,0,0,0,,0,0,0,0,0,0,0,
,,Investigative Division,0,0,0,,0,0,1,0,1,0,0,
,Fish and Wildlife Enforcement,,0,0,0,,0,0,11,4,7,0,0,
,Kentucky Fairgrounds Security,,0,0,0,,0,0,0,0,0,0,0,
,Kentucky Horse Park,,0,0,0,,0,0,29,1,27,1,0,
,Motor Vehicle Enforcement,,2,0,0,,0,2,9,3,4,2,0,
,Park Security,,0,0,0,,0,0,23,0,23,0,0,
,State Police:,Ashland,44,3,28,,1,12,218,84,112,22,3,
,,Bowling Green,43,3,18,,2,20,113,53,46,14,8,
,,Campbellsburg,50,1,20,,5,24,203,106,77,20,8,
,,Columbia,60,2,35,,4,19,121,52,52,17,6,
,,Drug Enforcement Area 2,0,0,0,,0,0,5,0,5,0,0,
,,Dry Ridge,43,1,24,,6,12,197,99,82,16,2,
,,Electronic Crimes,0,0,0,,0,0,1,0,1,0,0,
,,Elizabethtown,63,3,29,,4,27,114,49,51,14,1,
,,Frankfort,30,3,12,,2,13,101,28,63,10,13,
,,Harlan,61,6,23,,10,22,303,134,138,31,2,
,,Hazard,63,2,17,,15,29,255,140,90,25,3,
,,Henderson,25,1,8,,2,14,118,50,56,12,2,
,,London,82,7,45,,8,22,256,103,111,42,13,
,,Madisonville,34,4,18,,0,12,122,58,54,10,3,
,,Mayfield,74,6,43,,2,23,156,67,78,11,2,
,,Morehead,50,5,22,,2,21,261,148,97,16,9,
,,Pikeville,97,2,28,,22,45,479,190,208,81,6,
,,Richmond,58,7,21,,1,29,233,117,93,23,5,
,,West Drug Enforcement Branch,2,0,2,,0,0,1,0,1,0,0,
,Unlawful Narcotics Investigation ,Treatment and Education,0,0,0,,0,0,0,0,0,0,0,
KENTUCKYÐOther Agencies,Barren County Drug Task Force,,0,0,0,,0,0,3,2,1,0,0,
,Cincinnati-Northern Kentucky International Airport,,0,0,0,,0,0,47,0,43,4,0,
,Clark County School System,,0,0,0,,0,0,0,0,0,0,0,
,Cumberland River Drug Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Fayette County Schools,,11,0,2,,2,7,133,8,123,2,0,
,FIVCO Area Drug Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Graves County Schools,,0,0,0,,0,0,0,0,0,0,0,
,Greater Hardin County Narcotics Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Jefferson County School District,,8,0,0,,0,8,81,38,43,0,1,
,Lake Cumberland Area Drug Enforcement Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Lexington Bluegrass Airport,,0,0,0,,0,0,10,0,9,1,0,
,Louisville Regional Airport Authority,,0,0,0,,0,0,71,0,14,57,0,
,McCracken County Public Schools,,0,0,0,,0,0,4,1,3,0,0,
,Montgomery County School District,,0,0,0,,0,0,12,1,11,0,0,
,Northern Kentucky Drug Strike Force,,0,0,0,,0,0,0,0,0,0,0,
,Ohio County School System,,0,0,0,,0,0,0,0,0,0,0,
,Pennyrile Narcotics Task Force,,0,0,0,,0,0,0,0,0,0,0,
,South Central Kentucky Drug Task Force,,0,0,0,,0,0,1,0,1,0,0,
LOUISIANAÐState Agencies,Tensas Basin Levee District,,0,0,0,,0,0,0,0,0,0,0,
LOUISIANAÐTribal Agencies,Chitimacha Tribal,,6,0,0,,1,5,52,3,44,5,0,
,Coushatta Tribal,,1,0,0,,0,1,62,1,59,2,0,
,Tunica-Biloxi Tribal,,5,0,0,,2,3,93,4,89,0,0,
MAINEÐState Agencies,Bureau of Capitol Police,,1,0,,0,0,1,7,0,7,0,0,
,Drug Enforcement Agency: ,Androscoggin County,0,0,,0,0,0,0,0,0,0,0,
,,Aroostook County,0,0,,0,0,0,0,0,0,0,0,
,,Cumberland County,0,0,,0,0,0,0,0,0,0,0,
,,Franklin County,0,0,,0,0,0,0,0,0,0,0,
,,Hancock County,0,0,,0,0,0,0,0,0,0,0,
,,Kennebec County,0,0,,0,0,0,0,0,0,0,0,
,,Knox County,0,0,,0,0,0,0,0,0,0,0,
,,Lincoln County,0,0,,0,0,0,0,0,0,0,0,
,,Oxford County,0,0,,0,0,0,0,0,0,0,0,
,,Penobscot County,0,0,,0,0,0,0,0,0,0,0,
,,Piscataquis County,0,0,,0,0,0,0,0,0,0,0,
,,Sagadahoc County,0,0,,0,0,0,0,0,0,0,0,
,,Somerset County,0,0,,0,0,0,0,0,0,0,0,
,,Waldo County,0,0,,0,0,0,0,0,0,0,0,
,,Washington County,0,0,,0,0,0,0,0,0,0,0,
,,York County,0,0,,0,0,0,0,0,0,0,0,
,State Police Computer Crimes Task Force:,Androscoggin County,0,0,,0,0,0,0,0,0,0,0,
,,Aroostook County,0,0,,0,0,0,0,0,0,0,0,
,,Cumberland County,0,0,,0,0,0,0,0,0,0,0,
,,Franklin County,0,0,,0,0,0,0,0,0,0,0,
,,Hancock County,0,0,,0,0,0,0,0,0,0,0,
,,Kennebec County,0,0,,0,0,0,0,0,0,0,0,
,,Knox County,0,0,,0,0,0,0,0,0,0,0,
,,Lincoln County,0,0,,0,0,0,0,0,0,0,0,
,,Oxford County,0,0,,0,0,0,0,0,0,0,0,
,,Penobscot County,0,0,,0,0,0,0,0,0,0,0,
,,Piscataquis County,0,0,,0,0,0,0,0,0,0,0,
,,Sagadahoc County,0,0,,0,0,0,0,0,0,0,0,
,,Somerset County,0,0,,0,0,0,0,0,0,0,0,
,,Waldo County,0,0,,0,0,0,0,0,0,0,0,
,,Washington County,0,0,,0,0,0,0,0,0,0,0,
,,York County,0,0,,0,0,0,0,0,0,0,0,
,State Police: ,Androscoggin County,13,0,,1,1,11,66,15,48,3,0,
,,Aroostook County,26,1,,1,1,23,144,40,89,15,1,
,,Cumberland County,4,1,,1,0,2,30,9,16,5,0,
,,Franklin County,1,0,,0,0,1,55,18,33,4,0,
,,Hancock County,9,0,,1,0,8,139,58,73,8,0,
,,Kennebec County,23,2,,3,3,15,288,66,218,4,0,
,,Knox County,0,0,,0,0,0,0,0,0,0,0,
,,Lincoln County,0,0,,0,0,0,10,4,6,0,0,
,,Oxford County,5,0,,0,0,5,27,7,18,2,2,
,,Penobscot County,12,1,,0,1,10,228,83,140,5,2,
,,Piscataquis County,2,2,,0,0,0,12,7,3,2,0,
,,Sagadahoc County,0,0,,0,0,0,2,0,1,1,0,
,,Somerset County,4,0,,1,0,3,120,11,107,2,0,
,,Waldo County,17,1,,3,1,12,101,29,69,3,0,
,,Washington County,6,0,,1,1,4,142,64,62,16,0,
,,York County,18,0,,0,1,17,159,68,82,9,0,
MAINEÐTribal Agencies,Passamaquoddy Indian Township,,4,0,1,,0,3,22,4,17,1,0,
,Passamaquoddy Pleasant Point Tribal,,16,0,2,,0,14,10,5,2,3,0,
,Penobscot Nation,,0,0,0,,0,0,9,0,9,0,0,
MARYLANDÐState Agencies,Comptroller of the Treasury,Field Enforcement Division,0,0,0,,0,0,0,0,0,0,0,
,Department of Public Safety and Correctional Services,Internal Investigations Unit,250,0,4,,0,246,2,0,2,0,0,
,General Services:,"Annapolis, Anne Arundel County",0,0,0,,0,0,5,0,5,0,0,
,,Baltimore City,5,0,0,,4,1,23,1,20,2,0,
,Maryland State Police Statewide,,2,0,0,,0,2,1,0,0,1,0,
,Springfield Hospital,,0,0,0,,0,0,5,0,5,0,0,
,State Fire Marshal,,4,0,0,,0,4,6,6,0,0,0,
,State Police: ,Allegany County,31,3,3,,6,19,335,82,240,13,6,
,,Anne Arundel County,2,0,0,,1,1,19,0,16,3,0,
,,Baltimore City,0,0,0,,0,0,0,0,0,0,0,
,,Baltimore County,6,0,1,,0,5,16,3,11,2,0,
,,Calvert County,9,0,3,,3,3,190,24,164,2,4,
,,Caroline County,15,0,5,,1,9,53,20,31,2,2,
,,Carroll County,34,0,2,,12,20,328,43,275,10,4,
,,Charles County,5,0,0,,0,5,8,1,5,2,5,
,,Dorchester County,7,1,0,,1,5,44,19,17,8,0,
,,Frederick County,43,1,2,,6,34,201,69,126,6,2,
,,Garrett County,23,0,7,,3,13,153,63,86,4,0,
,,Harford County,30,0,1,,8,21,178,10,159,9,20,
,,Howard County,8,0,1,,2,5,32,8,21,3,2,
,,Kent County,3,0,0,,0,3,24,6,17,1,0,
,,Montgomery County,3,0,0,,0,3,6,0,3,3,0,
,,Prince George's County,3,0,0,,0,3,54,0,31,23,1,
,,Queen Anne's County,15,0,0,,5,10,100,21,73,6,6,
,,Somerset County,23,0,5,,2,16,123,41,75,7,4,
,,St. Mary's County,46,0,2,,8,36,236,30,198,8,10,
,,Talbot County,7,0,1,,1,5,42,13,25,4,0,
,,Washington County,30,0,1,,4,25,166,37,115,14,13,
,,Wicomico County,52,3,4,,7,38,212,74,122,16,3,
,,Worcester County,16,0,1,,9,6,96,15,72,9,4,
,Transit Administration,,107,0,0,,52,55,167,5,155,7,3,
,Transportation Authority,,4,0,0,,0,4,167,3,129,35,0,
MARYLANDÐOther Agencies,Maryland-National Capital Park Police,Montgomery County,10,0,1,,8,1,161,5,155,1,1,
MASSACHUSETTSÐState Agencies,State Police:,Barnstable County,0,0,0,,0,0,0,0,0,0,,
